display_index,harness_number,evaluation_number,selected,successful_trajectories,total_trajectories,mean_reward,reward_percent,best_so_far_percent,terminal_tasks_solved_at_least_once,total_tasks,matched_points,possible_points,point_match_rate,point_match_percent,best_of_four_points,best_of_four_possible_points,best_of_four_point_percent,tasks_with_at_least_1_point,tasks_with_at_least_2_points,tasks_with_3_points,trajectories_with_0_points,trajectories_with_1_point,trajectories_with_2_points,trajectories_with_3_points,replicate_1_successes,replicate_2_successes,replicate_3_successes,replicate_4_successes,replicate_1_points,replicate_2_points,replicate_3_points,replicate_4_points,terminal_ci95_low_percent,terminal_ci95_high_percent,point_ci95_low_percent,point_ci95_high_percent,mean_turns,mean_input_tokens,mean_output_tokens,boltz_calls,admet_calls,verifier_errors,exceptions,evaluation_errors,annotation
0,1,1,false,0,80,0.0,0.000,0.000,0,20,28,240,0.11666666666666667,11.667,17,60,28.333,14,3,0,56,20,4,0,0,0,0,0,9,2,11,6,0.000,0.000,1.282,22.051,31.15,998843.4,34871.0,0,0,0,0,0,Base harness
1,2,2,false,1,80,0.0125,1.250,1.250,1,20,24,240,0.1,10.000,14,60,23.333,10,3,1,62,13,4,1,0,1,0,0,6,6,4,8,0.000,5.228,5.669,14.331,67.32,1855435.7,77738.9,0,0,25,18,35,Add explicit cavity and hotspot workflow
2,3,3,true,2,80,0.025,2.500,2.500,2,20,33,240,0.1375,13.750,24,60,40.000,15,7,2,57,15,6,2,0,1,0,1,10,8,4,11,0.000,7.093,5.540,21.960,44.24,974708.2,54217.7,0,0,2,0,2,Simplify workflow and vectorize point scoring
3,4,4,false,1,80,0.0125,1.250,2.500,1,20,32,240,0.13333333333333333,13.333,22,60,36.667,16,5,1,54,21,4,1,0,1,0,0,11,6,6,9,0.000,5.228,6.837,19.829,42.51,964542.2,48633.3,0,0,6,0,6,Score whole point sets
4,5,5,false,0,80,0.0,0.000,2.500,0,20,22,240,0.09166666666666666,9.167,14,60,23.333,12,2,0,62,14,4,0,0,0,0,0,5,4,4,9,0.000,0.000,2.854,15.480,51.20,1187238.4,60371.3,0,0,7,0,7,Add structure-probe option and loosen set geometry
5,6,6,false,2,80,0.025,2.500,2.500,2,20,27,240,0.1125,11.250,20,60,33.333,15,3,2,59,17,2,2,0,0,1,1,4,5,7,11,0.000,7.093,3.040,19.460,39.17,885037.2,42566.5,0,0,4,0,4,Construct precise hydrogen-bond anchors
6,7,7,false,0,80,0.0,0.000,2.500,0,20,27,240,0.1125,11.250,14,60,23.333,11,3,0,56,21,3,0,0,0,0,0,7,4,9,7,0.000,0.000,5.783,16.717,43.15,970057.1,48006.3,0,0,6,0,6,Use interaction-energy minima
7,8,8,false,1,80,0.0125,1.250,2.500,1,20,43,240,0.17916666666666667,17.917,26,60,43.333,16,9,1,50,18,11,1,0,0,0,1,9,9,14,11,0.000,5.228,11.650,24.183,39.35,896163.7,43959.7,0,0,8,0,8,Distribute points through cavity envelope
8,9,9,false,0,80,0.0,0.000,2.500,0,20,36,240,0.15,15.000,21,60,35.000,19,2,0,47,30,3,0,0,0,0,0,8,9,11,8,0.000,0.000,11.249,18.751,45.06,1020363.6,51773.4,0,0,6,0,6,Return to sub-pocket centres with consensus check
9,10,10,false,0,80,0.0,0.000,2.500,0,20,19,240,0.07916666666666666,7.917,14,60,23.333,10,4,0,66,9,5,0,0,0,0,0,4,5,9,1,0.000,0.000,0.000,16.679,39.14,867858.1,44035.9,0,0,6,0,6,Remove the consensus filter
10,11,11,false,1,80,0.0125,1.250,2.500,1,20,29,240,0.12083333333333333,12.083,20,60,33.333,14,5,1,57,18,4,1,0,0,1,0,3,7,12,7,0.000,5.228,2.309,21.858,44.00,1009494.9,51410.3,0,0,8,2,9,Return to vectorized grid scoring
