task_id,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10
smdd_004_A2A_Adenosine_0,1,3,1,2,3,0,1,1,1,1,0
smdd_004_ABL1_11,0,2,4,2,2,1,4,2,3,2,3
smdd_004_ACE_15,0,0,0,0,0,0,0,0,0,0,0
smdd_004_ALK_4,1,1,0,0,0,1,0,1,1,2,1
smdd_004_Androgen_Receptor_0,0,0,3,3,2,1,1,2,1,3,1
smdd_004_Aurora_A_1,2,0,1,1,2,1,1,1,2,2,1
smdd_004_BACE1_10,3,0,0,0,0,0,0,0,0,0,0
smdd_004_BAZ2B_0,1,1,3,1,3,1,1,2,1,4,2
smdd_004_BCL6_14,1,1,0,1,0,0,0,2,0,0,0
smdd_004_BChE_0,0,1,1,1,3,4,2,2,2,1,2
smdd_004_BRAF_1,1,2,2,0,1,2,2,0,0,2,1
smdd_004_BRD2_11,0,0,0,1,0,2,0,0,0,0,0
smdd_004_BRD4_12,0,1,0,1,0,0,0,1,0,0,1
smdd_004_CA2_0,2,2,4,2,3,4,2,2,4,2,3
smdd_004_CCR2_1,0,0,0,0,0,0,0,0,0,0,0
smdd_004_CDK2_11,2,0,3,2,3,2,2,1,1,1,2
smdd_004_CYP19A1_7,2,3,3,2,1,2,1,3,2,1,2
smdd_004_CYP1B1_1,0,0,1,0,0,0,0,0,0,0,0
smdd_004_Cathepsin_K_0,0,0,0,0,1,0,0,0,0,0,0
smdd_004_DHFR_11,2,1,4,3,3,3,3,3,4,3,4
