display_index,harness_number,evaluation_number,selected,total_trajectories,children_launched_including_retries,submitted_trajectories,valid_trajectories,evaluable_trajectories,tanimoto_passes,mcs_passes,both_novelty_passes,interaction_passes,binding_passes,novelty_and_interaction_passes,novelty_and_binding_passes,interaction_and_binding_passes,terminal_successes,verifier_errors,exceptions,novel_scaffold_rate_percent,interaction_preservation_rate_percent,binding_pass_rate_percent,terminal_success_rate_all_percent,terminal_success_rate_evaluable_percent,mean_interaction_similarity_evaluable,mean_tanimoto_evaluable,mean_scaffold_mcs_evaluable,mean_binding_probability_evaluable,tasks_solved_at_least_once,total_tasks,optimizer_recorded_reward,optimizer_recorded_reward_percent,novelty_ci95_low_percent,novelty_ci95_high_percent,interaction_ci95_low_percent,interaction_ci95_high_percent,mean_turns,mean_input_tokens,mean_output_tokens,boltz_calls,admet_calls,annotation,delta_novelty_vs_base_pp,delta_interaction_vs_base_pp,pareto_frontier
0,1,1,False,80,100,72,71,70,70,66,66,0,24,0,23,0,0,10,0,94.28571428571429,0.0,34.285714285714285,0.0,0.0,0.3490501893310385,0.1792971336616008,0.457574919611795,0.5583150764927268,0,20,0.0,0.0,87.29586180020883,100.0,0.0,0.0,75.45,2866215.325,45756.525,446,7,Base harness,0.0,0.0,True
1,2,2,False,80,96,68,67,67,65,53,52,5,36,5,25,3,3,12,1,77.61194029850746,7.462686567164179,53.73134328358209,3.75,4.477611940298507,0.46787391058797184,0.3173797316573666,0.5505854902838787,0.6550637460800249,2,20,0.0375,3.75,49.963328661759434,100.0,0.0,16.3423659224983,51.3375,1310563.0375,48619.1875,372,1,Add gate-led cheap-first workflow,-16.67377398720683,7.462686567164179,True
2,3,3,False,80,84,67,66,64,59,49,49,6,43,5,30,4,3,16,0,76.5625,9.375,67.1875,3.75,4.6875,0.5031086032936362,0.328149385307337,0.5291933134979804,0.699020228756126,3,20,0.0375,3.75,59.57793360555986,93.54706639444014,0.0,19.32014375,51.425,1335018.175,48906.2625,291,0,Add pose and interaction verification,-17.723214285714292,9.375,True
3,4,4,False,80,96,78,78,78,68,56,54,8,48,5,33,6,4,2,0,69.23076923076923,10.256410256410257,61.53846153846154,5.0,5.128205128205129,0.5131557732266234,0.38868794406634843,0.5836649815923807,0.706529933004043,3,20,0.05,5.0,62.150032769256455,76.18330056407689,0.0,23.48754761141137,51.875,1302687.85,45360.5625,329,0,Favor conservative isosteric core hops,-25.054945054945065,10.256410256410257,False
4,5,5,False,80,92,77,77,76,70,52,51,11,51,10,34,10,9,4,0,67.10526315789474,14.473684210526315,67.10526315789474,11.25,11.842105263157896,0.5045729854940382,0.373268268417037,0.5845389669802479,0.7237621501676346,6,20,0.1125,11.25,50.43787957759099,83.1293718843973,0.0,30.82337145662042,49.5875,1259132.05,43770.175,312,0,Require measured candidates and threshold margin,-27.180451127819552,14.473684210526315,False
5,6,6,False,80,84,75,75,75,72,54,54,9,55,5,40,7,5,5,0,72.0,12.0,73.33333333333333,6.25,6.666666666666667,0.5027352166237615,0.35329264465161386,0.5744358600291448,0.7254255643486976,3,20,0.0625,6.25,57.15796372475041,86.70168539805661,3.6575165568203456,20.465290460723516,47.1625,1197259.75,42132.9375,309,0,Stress-test novelty metrics,-22.285714285714292,12.0,False
6,7,7,False,80,92,74,73,72,65,50,48,9,50,6,32,8,6,7,1,66.66666666666667,12.5,69.44444444444444,7.5,8.333333333333334,0.4886006486609557,0.37296937301320277,0.5778078366438728,0.7491160690163573,5,20,0.075,7.5,58.92094902759206,74.20598595692806,3.991591168238676,20.931009450956374,50.5625,1294892.675,46261.575,340,0,Diversify core edits and spend oracle budget,-27.61904761904762,12.5,False
7,8,8,True,80,88,71,70,70,64,53,51,11,39,10,25,10,9,10,0,72.85714285714286,15.714285714285714,55.714285714285715,11.25,12.857142857142858,0.5572089908224362,0.3812342875486141,0.5649344947720234,0.7103607905762536,5,20,0.1125,11.25,54.21386508991118,92.19136366825875,6.4205426485180155,25.572921403769566,52.075,1341659.825,47146.45,347,0,Recheck exact novelty and every predicted pose,-21.42857142857143,15.714285714285714,True
8,9,9,False,80,84,80,80,80,73,62,59,10,50,6,38,9,6,0,0,73.75,12.5,62.5,7.5,7.5,0.49739806965909905,0.37592996223892094,0.573567050488809,0.6956157938577234,4,20,0.075,7.5,56.108462397653,91.391537602347,2.2286997014963266,22.771300298503675,33.6875,805753.1125,28742.8625,246,0,Prioritize early submission,-20.535714285714292,12.5,True
9,10,10,False,80,88,80,80,80,70,55,53,10,42,4,23,10,4,0,0,66.25,12.5,52.5,5.0,5.0,0.49920080854388127,0.3727638433911974,0.5728777807560006,0.6505874816328288,1,20,0.05,5.0,52.66234688444789,79.83765311555211,4.5438849999999995,20.456115,34.575,831928.35,29786.425,268,0,Keep improving after the first submission,-28.035714285714292,12.5,False
10,11,11,False,80,84,70,70,70,61,55,54,6,46,4,32,5,3,10,0,77.14285714285714,8.571428571428571,65.71428571428571,3.75,4.285714285714286,0.4767139116105282,0.36598091552769313,0.5658128569041082,0.7198875110064235,3,20,0.0375,3.75,56.567061713512444,97.87372776017178,0.0,19.749769654112587,51.575,1320116.575,45632.9125,353,0,Set a turn-55 submission deadline,-17.142857142857153,8.571428571428571,True
