task_order,task_id,model,run,submission_status,terminal_status,terminal_pass,verifier_error,source_path,validity_status,validity_pass,validity_value,tanimoto_similarity_status,tanimoto_similarity_pass,tanimoto_similarity_value,scaffold_mcs_status,scaffold_mcs_pass,scaffold_mcs_value,interaction_similarity_status,interaction_similarity_pass,interaction_similarity_value,binding_probability_status,binding_probability_pass,binding_probability_value
1,smdd_003_1JVP_1,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.4189189189189189,passed,True,0.4166666666666667,failed,False,0.3333333333333333,passed,True,0.7292559444904327
1,smdd_003_1JVP_1,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.4027777777777778,passed,True,0.35,passed,True,0.8333333333333334,failed,False,0.18952374160289764
1,smdd_003_1JVP_1,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.08695652173913043,passed,True,0.4090909090909091,failed,False,0.3,passed,True,0.7731570303440094
1,smdd_003_1JVP_1,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.44776119402985076,passed,True,0.5714285714285714,failed,False,0.23076923076923078,failed,False,0.6855684667825699
1,smdd_003_1JVP_1,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.49206349206349204,failed,False,0.65,failed,False,0.5,passed,True,0.8984156847000122
1,smdd_003_1JVP_1,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.3939393939393939,passed,True,0.55,failed,False,0.6666666666666666,failed,False,0.4095442518591881
1,smdd_003_1JVP_1,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_1JVP_1/result.json,passed,True,True,passed,True,0.44642857142857145,passed,True,0.3,failed,False,0.42857142857142855,failed,False,0.2948221042752266
1,smdd_003_1JVP_1,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_1JVP_1__jW22hHm/verifier/reward.json,passed,True,1.0,passed,True,0.125,passed,True,0.45,failed,False,0.7142857142857143,failed,False,0.5362069010734558
2,smdd_003_2VQM_0,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.2222222222222222,passed,True,0.4,failed,False,0.75,passed,True,0.7615062892436981
2,smdd_003_2VQM_0,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.3548387096774194,passed,True,0.25,failed,False,0.2,failed,False,0.37485893070697784
2,smdd_003_2VQM_0,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.4057971014492754,passed,True,0.5,failed,False,0.75,passed,True,0.8368759751319885
2,smdd_003_2VQM_0,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.43478260869565216,passed,True,0.55,failed,False,0.6666666666666666,passed,True,0.9770419895648956
2,smdd_003_2VQM_0,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.07042253521126761,passed,True,0.4,failed,False,0.25,passed,True,0.9053336977958679
2,smdd_003_2VQM_0,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.2898550724637681,passed,True,0.3181818181818182,failed,False,0.25,failed,False,0.27506043016910553
2,smdd_003_2VQM_0,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_2VQM_0/result.json,passed,True,True,passed,True,0.32432432432432434,passed,True,0.5454545454545454,failed,False,0.6,failed,False,0.39371059089899063
2,smdd_003_2VQM_0,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,max_turns_exceeded,not_evaluated,False,True,results/blog/scaffold_hopping/v1/smdd_003_2VQM_0__n5kgSkN/verifier/reward.json,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,
3,smdd_003_2VQM_1,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.23863636363636365,passed,True,0.5757575757575758,failed,False,0.5,passed,True,0.9438925087451935
3,smdd_003_2VQM_1,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.2916666666666667,passed,True,0.41379310344827586,failed,False,0.42857142857142855,passed,True,0.9120598137378693
3,smdd_003_2VQM_1,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.0625,passed,True,0.5862068965517241,failed,False,0.2222222222222222,passed,True,0.8171327412128448
3,smdd_003_2VQM_1,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.07865168539325842,passed,True,0.5172413793103449,failed,False,0.1111111111111111,passed,True,0.994059294462204
3,smdd_003_2VQM_1,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.13333333333333333,passed,True,0.5806451612903226,failed,False,0.0,passed,True,0.7253752648830414
3,smdd_003_2VQM_1,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.06153846153846154,passed,True,0.3448275862068966,failed,False,0.2857142857142857,passed,True,0.7653103172779083
3,smdd_003_2VQM_1,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_2VQM_1/result.json,passed,True,True,passed,True,0.4444444444444444,passed,True,0.5172413793103449,failed,False,0.5714285714285714,passed,True,0.7164820730686188
3,smdd_003_2VQM_1,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_2VQM_1__kTSyVAV/verifier/reward.json,passed,True,1.0,passed,True,0.14473684210526316,passed,True,0.4482758620689655,failed,False,0.3333333333333333,failed,False,0.35461948812007904
4,smdd_003_2VQM_2,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.3411764705882353,passed,True,0.38461538461538464,failed,False,0.3333333333333333,passed,True,0.9083872139453888
4,smdd_003_2VQM_2,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.34545454545454546,passed,True,0.6060606060606061,failed,False,0.7142857142857143,failed,False,0.5909285098314285
4,smdd_003_2VQM_2,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.38461538461538464,failed,False,0.7692307692307693,passed,True,0.8333333333333334,passed,True,0.8955249786376953
