task_index,task_id,label,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10
0,smdd_002_O75874_0,O75874,1,0,1,2,0,1,1,1,1,0,1
1,smdd_002_P00374_0,P00374,1,1,1,3,0,0,1,2,1,0,2
2,smdd_002_P00742_0,P00742,1,3,1,0,1,1,1,2,1,0,2
3,smdd_002_P00797_0,P00797,2,1,1,1,0,1,0,0,0,0,0
4,smdd_002_P00918_0,P00918,0,2,2,2,1,1,2,1,1,2,0
5,smdd_002_P03372_0,P03372,1,0,0,1,1,1,0,1,1,0,1
6,smdd_002_P04150_0,P04150,1,1,2,2,2,3,1,2,2,2,3
7,smdd_002_P07900_0,P07900,0,2,2,0,0,1,0,1,1,1,1
8,smdd_002_P08684_0,P08684,0,0,3,1,0,2,0,2,1,1,2
9,smdd_002_P10275_0,P10275,1,0,2,1,1,0,1,1,1,1,1
10,smdd_002_P11473_0,P11473,2,1,3,2,2,3,1,2,2,2,1
11,smdd_002_P12821_0,P12821,0,0,0,1,1,1,2,0,1,2,1
12,smdd_002_P14061_0,P14061,2,0,1,1,1,1,0,2,1,1,0
13,smdd_002_P18031_0,P18031,0,0,1,1,1,1,0,1,1,1,0
14,smdd_002_P22303_0,P22303,1,1,0,0,0,0,0,0,1,0,2
15,smdd_002_P24941_0,P24941,1,0,0,1,0,1,0,2,1,0,1
16,smdd_002_P28482_0,P28482,1,1,0,1,1,1,2,2,1,1,1
17,smdd_002_P42574_0,P42574,1,1,1,0,0,0,0,1,1,0,0
18,smdd_002_P45452_0,P45452,0,0,1,1,1,1,1,3,1,0,1
19,smdd_002_P55055_0,P55055,1,0,2,1,1,0,1,0,1,0,0
